Company Name,Ticker,Market Cap (mil),Exchange,Month of Fiscal Yr End,Sector,Industry,Last Close,Last Yr`s EPS (F0) Before NRI,F1 Consensus Est.,F2 Consensus Est.
Triumph Group,TGI,2002.72,NYSE,3,Aerospace,Aerospace - Defense Equipment,25.77,0.93,1.06,1.4
Treasure Global Inc.,TGL,2.95,NSDQ,6,Retail-Wholesale,Internet - Commerce,1.11,-383.5,,
theglobe.com,TGLO,88.3,OTC,12,Computer and Technology,Internet - Services,0.2,0,,
Tecnoglass,TGLS,3534.48,NYSE,12,Retail-Wholesale,Building Products - Retail,75.22,3.65,4.17,4.78
Theta Gold Mines Limited,TGMGF,16.01,OTC,6,Basic Materials,Mining - Gold,0.0225,-0.01,,
TEGNA,TGNA,2645.37,NYSE,12,Consumer Discretionary,Broadcast Radio and Television,16.46,3.07,1.61,3.27
3i Group plc - Unsponsored ADR,TGOPY,54997.2,OTC,12,Finance,Financial - Miscellaneous Services,28.25,,,
Transportadora De Gas Ord B,TGS,4335.9,NYSE,12,Oils-Energy,Oil and Gas - Production and Pipelines,28.8,2.44,1.37,1.85
Target,TGT,43218.7,NYSE,1,Retail-Wholesale,Retail - Discount Stores,95.12,8.86,7.51,8.07
TG Therapeutics,TGTX,5582.62,NSDQ,12,Medical,Medical - Biomedical and Genetics,35.165,0.15,0.9,1.78
Target Hospitality,TH,703.5,NSDQ,12,Consumer Discretionary,Leisure and Recreation Services,7.08,0.7,-0.28,-0.05
"Tharimmune, Inc.",THAR,3.8,NSDQ,12,Medical,Medical - Biomedical and Genetics,1.43,-9.41,,
Tenet Healthcare,THC,15565.67,NYSE,12,Medical,Medical - Hospital,167.58,11.88,12.73,13.64
TH International Limited,THCH,94.57,NSDQ,12,Retail-Wholesale,Retail - Restaurants,2.85,-1.2,,
,THD,189.58,NYSE,12,Finance,Financial - Investment Funds,49.89,,,
First Financial Corporation Indiana,THFF,602.13,NSDQ,12,Finance,Banks - Midwest,50.81,4,6.02,6.19
