Company Name,Ticker,Market Cap (mil),Exchange,Month of Fiscal Yr End,Sector,Industry,Last Close,Last Yr`s EPS (F0) Before NRI,F1 Consensus Est.,F2 Consensus Est.
"Blue Foundry Bancorp","BLFY","202.7","NSDQ","12","Finance","Banks - Northeast","9.43","-.55","-.39",".03"
"BioLargo","BLGO","68.78","OTC","12","Construction","Engineering - R and D Services",".2229","-.01","",""
"BlueHarbor Bank","BLHK","92.53","OTC","12","Finance","Banks - Southeast","31.25","2.25","",""
"Bridgeline Digital","BLIN","16.42","NSDQ","9","Computer and Technology","Internet - Services","1.3555","-.19","-.25","-.14"
"BlackRock","BLK","175058.61","NYSE","12","Finance","Financial - Investment Management","1130.48","43.61","47.57","52.12"
"Blackbaud","BLKB","3209.36","NSDQ","12","Computer and Technology","Computer - Software","66.16","4.07","4.4","4.7"
"Biloxi Marsh Lands","BLMC","4.71","OTC","12","Oils-Energy","Oil and Gas - Exploration and Production - United States","1.88",".04","",""
"Blum Holdings, Inc.","BLMH","6.28","OTC","12","Medical","Medical - Products",".6449",".03","",""
"Bloomin' Brands","BLMN","620.15","NSDQ","12","Retail-Wholesale","Retail - Restaurants","7.29","1.79","1.09","1.09"
"BloomZ Inc.","BLMZ","2.86","NSDQ","9","Consumer Discretionary","Media Conglomerates",".1983","-.13","",""
"Blend Labs","BLND","919.2","NYSE","12","Computer and Technology","Internet - Software","3.54","-.12",".05",".11"
"Beeline Holdings, Inc.","BLNE","33.73","NSDQ","12","Finance","Financial - Miscellaneous Services","1.72","-25.33","-4.27",".04"
"Blink Charging","BLNK","127.75","NSDQ","12","Computer and Technology","Electronics - Miscellaneous Services","1.22","-.61","-.65","-.3"
"Cannabix Technologies","BLOZF","48.93","OTC","4","Business Services","Technology Services",".4041","-.03","",""
"BioLineRx","BLRX","15.56","NSDQ","12","Medical","Medical - Drugs","3.65","-6","-.63",""
"Bullish","BLSH","9418.62","NYSE","12","Computer and Technology","Internet - Software","64.43","","",""
"Blackstone Minerals","BLSTF","27.43","OTC","6","Basic Materials","Mining - Miscellaneous",".0461","-.02","",""
"Belite Bio","BLTE","2053.85","NSDQ","12","Medical","Medical - Biomedical and Genetics","64.51","-1.18","-1.85","-1.61"
"American Battery Materials, Inc.","BLTH","13.76","OTC","12","Industrial Products","Industrial Services","5","-1.81","",""
"BlueRiver Acquisition","BLUAF","87.06","OTC","12","Medical","Medical - Instruments","10.9","","",""
"Blue Water Acquisition Corp. III","BLUW","279.79","NSDQ","12","Unclassified","Unclassified","9.95","","",""
"Bellway","BLWYY","3735.15","OTC","7","Construction","Building Products - Miscellaneous","31.39","1.69","2.67","3.33"
"Banco Latinoamericano de Comercio Exterior","BLX","1722.31","NYSE","12","Finance","Banks - Foreign","46.26","5.6","",""
"Backblaze","BLZE","474.6","NSDQ","12","Computer and Technology","Internet - Software","8.4","-.4","-.03",".12"
"Macro Bank","BMA","3801.41","NYSE","12","Finance","Banks - Foreign","59.49","5.59","8.15","12.28"
"Bumble","BMBL","658.39","NSDQ","12","Computer and Technology","Internet - Software","6.33","-4.61","-1.79","1.49"
"Benchmark Bankshares","BMBN","139.55","OTC","12","Finance","Banks - Southeast","31.25","3.55","",""
"BIOMEA FUSION","BMEA","114.26","NSDQ","12","Medical","Medical - Biomedical and Genetics","1.92","-3.83","-1.64","-1.5"
"Basel Medical Group Ltd","BMGL","36.54","NSDQ","12","Medical","Medical Services","1.98","","",""
"Bluemount Holdings Limited","BMHL","98.98","NSDQ","12","Finance","Financial - Miscellaneous Services","3.9","","",""
